epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.79046875,0.60788125,0.5320868007838726,0.84375,0.7128772,0.46895420387387277
1,0.8465625,0.75053126,0.45906571358442305,0.84875,0.7603653,0.46059290394186975
2,0.8528125,0.7915984,0.440002906396985,0.8325,0.7872429,0.44969992220401767
3,0.8603125,0.8105924,0.4316540088132024,0.849375,0.7821241,0.44405153304338457
4,0.86609375,0.8261684,0.4239555489271879,0.855,0.7720515,0.45931163907051087
5,0.86328125,0.8354152,0.41896110735833647,0.84875,0.8003236,0.44374818205833433
6,0.865625,0.8440673,0.4163591766729951,0.85,0.8021655,0.43915786743164065
7,0.86609375,0.84331304,0.41567919090390204,0.85375,0.78688556,0.4420893384516239
8,0.86796874,0.8503904,0.4120049988478422,0.86375,0.8103212,0.43747600823640825
9,0.8696875,0.8575612,0.40793188333511354,0.860625,0.79707366,0.4371751269698143
10,0.87078124,0.86718905,0.40287783928215504,0.86,0.81202793,0.44077352300286293
11,0.8751562,0.86455715,0.40419427640736105,0.86,0.8236797,0.42940664023160935
12,0.875,0.86566466,0.4039546150714159,0.848125,0.80613446,0.4427124410867691
13,0.8720313,0.8693991,0.4015918277204037,0.865625,0.82346046,0.42308852523565293
14,0.87625,0.8735855,0.3994264764338732,0.86875,0.8325107,0.4183465650677681
15,0.87671876,0.8794659,0.39593765694648025,0.8675,0.8224517,0.42121363565325737
16,0.8778125,0.8722557,0.39858345057815314,0.8575,0.82816494,0.42847629070281984
17,0.8775,0.8837279,0.393282679989934,0.873125,0.82268584,0.4242227046191692
18,0.8775,0.8882546,0.3908959846571088,0.86125,0.83531785,0.42178802281618116
19,0.8801563,0.8812333,0.3942505734413862,0.864375,0.82537735,0.42063231438398363
20,0.8821875,0.8876883,0.38952759075909854,0.85625,0.84188074,0.4266264334321022
21,0.88171875,0.8937571,0.3875733222439885,0.87125,0.8283015,0.42334618330001833
22,0.87890625,0.8886065,0.38919288758188486,0.845625,0.8226799,0.43822350084781647
23,0.88375,0.8889011,0.38835984993726014,0.863125,0.8237876,0.4270488576591015
24,0.8875,0.89612573,0.3828891375660896,0.866875,0.84058076,0.4189806804060936
25,0.8846875,0.8965014,0.3840285107493401,0.859375,0.8424091,0.42020518869161605
26,0.8854687,0.8998442,0.38198460161685943,0.865625,0.83866984,0.42218498975038526
27,0.885,0.8997881,0.3819010350108147,0.86125,0.8413944,0.4242927598953247
28,0.8853125,0.9002762,0.38272670105099676,0.866875,0.83754694,0.42476214438676835
29,0.88609374,0.9056152,0.3792418884113431,0.866875,0.83640313,0.4230863559246063
30,0.88703126,0.9047826,0.3795991303771734,0.860625,0.8219803,0.4270193952322006
31,0.89125,0.90980047,0.3743640610203147,0.859375,0.8340164,0.4663155029714108
0,0.9169086,0.96415955,0.32858393009629716,0.866875,0.8434268,0.41779455423355105
